rating_id, tconst, title_id, Avg_Series_Rating, Avg_Series_Votes, Total_Series_Votes, Series_Title
1, tt0177842, 24, 7.2929, 1128.4173, 743627, The Simpsons
1366, tt0705936, 1389, 7.8994, 1678.0747, 516847, South Park
1798, tt6327752, 1821, 7.0876, 972.9879, 322059, Family Guy
3364, tt5218370, 3387, 7.6, 6642.2, 232477, Rick and Morty
1674, tt0584445, 1697, 7.9597, 1250.6371, 155079, Futurama
3430, tt6542628, 3453, 8.0968, 1685.5806, 104506, BoJack Horseman
2425, tt5372664, 2448, 7.0347, 367.1506, 95092, American Dad!
3085, tt7576238, 3108, 7.5, 752.6091, 82787, Archer
3195, tt1645218, 3218, 7.6805, 374.284, 63254, Bob's Burgers
1108, tt0620218, 1131, 7.7248, 151.9535, 39204, King of the Hill
721, tt0861845, 744, 7.9375, 79.7644, 16591, Beavis and Butt-Head
2684, tt2105818, 2707, 7.3065, 82.3978, 15326, Robot Chicken
3492, tt7808476, 3515, 5.3333, 447.0667, 13412, Big Mouth
2229, tt1677103, 2252, 7.9065, 87.8921, 12217, Aqua Teen Hunger Force
2369, tt0903225, 2392, 7.9643, 158.4821, 8875, The Boondocks
1043, tt0772447, 1066, 8.1231, 131.8769, 8572, Daria
2985, tt1262302, 3008, 8.2222, 84.746, 5339, Metalocalypse
666, tt1091090, 689, 7.6923, 63.75, 3315, The Ren & Stimpy Show
3399, tt5714046, 3422, 7.6129, 69.7419, 2162, Mr. Pickles
929, tt0706065, 952, 6.2455, 19.1636, 2108, Space Ghost Coast to Coast
2870, tt7741392, 2893, 7.6696, 14.9565, 1720, Squidbillies
3048, tt1884044, 3071, 8.1081, 36.973, 1368, Superjail!
2129, tt4831724, 2152, 6.2872, 11.9043, 1119, Celebrity Deathmatch
